iter	RMSE
0	0.3753006679
1	0.3543739803
2	0.3357605735
3	0.3183536175
4	0.3034329019
5	0.2898536472
6	0.2759421206
7	0.2637262723
8	0.251618209
9	0.2413924527
10	0.23338928
11	0.224529123
12	0.2177712264
13	0.2102545763
14	0.2036954689
15	0.1982159736
16	0.1922257437
17	0.1870929609
18	0.1823277417
19	0.1779202934
20	0.1742150618
21	0.1708238297
22	0.167362327
23	0.1645620347
24	0.1620530405
25	0.1598786119
26	0.1576630566
27	0.1554309882
28	0.1535988904
29	0.1520223421
30	0.1502661372
31	0.1486156245
32	0.1468013006
33	0.1453419217
34	0.1441070665
35	0.1428538579
36	0.1415309133
37	0.1405210701
38	0.1389600545
39	0.1376785321
40	0.1368142995
41	0.1353038795
42	0.1346481972
43	0.1337527788
44	0.1328414414
45	0.131901603
46	0.1310635294
47	0.1304275916
48	0.1298735062
49	0.1290060908
50	0.1284200673
51	0.1278842566
52	0.1275409837
53	0.1269246918
54	0.1264927947
55	0.1262012657
56	0.1255233407
57	0.1249541752
58	0.1247239733
59	0.1245747346
60	0.1239861401
61	0.1235817541
62	0.1229804684
63	0.1226975277
64	0.121654615
65	0.1210989266
66	0.1210182679
67	0.1204512182
68	0.1201083882
69	0.1198808469
70	0.1191651289
71	0.1190622257
72	0.1183854434
73	0.1183156981
74	0.117939128
75	0.1178312814
76	0.1177204094
77	0.1174562721
78	0.1168008435
79	0.1166674379
80	0.1157402272
81	0.115658923
82	0.115487797
83	0.1152114179
84	0.1150943678
85	0.1149412348
86	0.1147947197
87	0.1145509467
88	0.1140084723
89	0.1138860061
90	0.112963466
91	0.112374497
92	0.112258916
93	0.1111762561
94	0.111068464
95	0.1110152928
96	0.1108443919
97	0.1107320553
98	0.1106315232
99	0.1105308615
100	0.1104404086
101	0.1103467422
102	0.1098771911
103	0.1097959718
104	0.1097114868
105	0.1089331361
106	0.108512812
107	0.1084382515
108	0.1083401621
109	0.1082536193
110	0.107683329
111	0.1072943992
112	0.1072147005
113	0.1065715841
114	0.1064984474
115	0.1059588863
116	0.1056546173
117	0.1055856509
118	0.1055111877
119	0.1048722037
120	0.1048007889
121	0.1047590594
122	0.1043814706
123	0.1040082586
124	0.1035374007
125	0.1027610519
126	0.1025888714
127	0.1025272438
128	0.102212087
129	0.1019835498
130	0.1014943852
131	0.1014471686
132	0.1013908429
133	0.1013570327
134	0.1007331933
135	0.1003644899
136	0.1003192843
137	0.1000076573
138	0.09976446982
139	0.09913089469
140	0.09868187764
141	0.09824219001
142	0.0982111119
143	0.09816896494
144	0.09813784392
145	0.09809132811
146	0.09782034113
147	0.09747854175
148	0.09745031163
149	0.09740392192
150	0.0971499542
151	0.09686731033
152	0.09684045847
153	0.09681213791
154	0.09647871346
155	0.09617334919
156	0.09613341076
157	0.0960794983
158	0.09561341366
159	0.09528503566
160	0.09500520658
161	0.09473681987
162	0.0946999149
163	0.094662633
164	0.09425469975
165	0.09409390243
166	0.09397519593
167	0.09382523021
168	0.09380068623
169	0.09324096748
170	0.09320999343
171	0.09318523049
172	0.09296273117
173	0.09292959293
174	0.09252649987
175	0.09250684399
176	0.0922856496
177	0.0919646421
178	0.09169712164
179	0.09127757743
180	0.09102988766
181	0.09072633934
182	0.09042132282
183	0.09036507377
184	0.09000434374
185	0.08961349704
186	0.08938958864
187	0.08936167091
188	0.08934213563
189	0.08888090757
190	0.0888603221
191	0.08878198594
192	0.08858768378
193	0.08799758926
194	0.08797785529
195	0.08764612494
196	0.08741365609
197	0.08708401917
198	0.08663243116
199	0.0866138046
200	0.08659556513
201	0.08657770355
202	0.0862707603
203	0.08625127456
204	0.08623006116
205	0.08621319373
206	0.0858329621
207	0.08546635606
208	0.08526283804
209	0.08514711009
210	0.08505788925
211	0.08504170484
212	0.08502498573
213	0.08489869067
214	0.08488290231
215	0.08453149272
216	0.08444031711
217	0.08428223461
218	0.08426720053
219	0.08425248137
220	0.08423806907
221	0.08422380271
222	0.08392675687
223	0.08391312933
224	0.08359583581
225	0.08358242725
226	0.08347367953
227	0.08318668381
228	0.08291048525
229	0.08265423305
230	0.08257055133
231	0.08242923092
232	0.08219541787
233	0.08202178435
234	0.08184226853
235	0.08166898048
236	0.08144240489
237	0.08123155321
238	0.08105302963
239	0.0808409873
240	0.08063675493
241	0.08052256903
242	0.08027438605
243	0.07996466231
244	0.07970739932
245	0.07955209843
246	0.07924379397
247	0.07923191122
248	0.07902075423
249	0.0789183735
250	0.07866203475
251	0.07858017158
252	0.07836805571
253	0.07823364072
254	0.0780469414
255	0.0777335316
256	0.07768611976
257	0.07730533941
258	0.07695841015
259	0.07669242222
260	0.07658357411
261	0.07639068616
262	0.07621850376
263	0.07610679857
264	0.07585908819
265	0.07575547626
266	0.07551546624
267	0.07529930567
268	0.07510771461
269	0.07499475992
270	0.07471835979
271	0.07464038648
272	0.07454504413
273	0.07428954488
274	0.07407046371
275	0.07398146047
276	0.07387086593
277	0.07362534163
278	0.07339041907
279	0.07323069719
280	0.07296191256
281	0.0728917403
282	0.0727408488
283	0.07261343044
284	0.07230461883
285	0.07220642251
286	0.0721270857
287	0.07201546045
288	0.07184488375
289	0.07165670512
290	0.07137865604
291	0.07111541811
292	0.07100650031
293	0.07095794538
294	0.0709131503
295	0.07086080859
296	0.07077374353
297	0.07052845952
298	0.07048467261
299	0.07030065196
300	0.07026935816
301	0.07019971979
302	0.07010579206
303	0.06987407828
304	0.06967306583
305	0.0694482421
306	0.06919851667
307	0.06910352139
308	0.06883122687
309	0.06858547843
310	0.06834548529
311	0.06824390865
312	0.06807324163
313	0.06794113017
314	0.0676854846
315	0.06745589732
316	0.06724416538
317	0.06702136144
318	0.06694488287
319	0.06686810866
320	0.06676807459
321	0.06669678748
322	0.06662307243
323	0.06638017528
324	0.06627857086
325	0.06614897602
326	0.06604907841
327	0.06581693477
328	0.06578176493
329	0.06567760104
330	0.06545820918
331	0.06538217163
332	0.06529050619
333	0.06510190142
334	0.06504973121
335	0.06485445485
336	0.06455682188
337	0.06441705517
338	0.06434786607
339	0.06431455993
340	0.06422213194
341	0.06416519753
342	0.06402966871
343	0.06384355107
344	0.06366779699
345	0.06346738597
346	0.06325948077
347	0.06313781899
348	0.06305429966
349	0.0630144211
350	0.06298513463
351	0.06280889958
352	0.0626338212
353	0.06252669621
354	0.06241958803
355	0.06227022985
356	0.06219126169
357	0.06199566144
358	0.06190367901
359	0.06170638258
360	0.06167589337
361	0.06156157948
362	0.06147729544
363	0.06144266237
364	0.06137437623
365	0.06132282636
366	0.06125136647
367	0.06105932868
368	0.06103291684
369	0.06084470695
370	0.06070947818
371	0.06066304426
372	0.06045684517
373	0.06031706313
374	0.06020526393
375	0.06008718888
376	0.06004276413
377	0.0599272891
378	0.05972960232
379	0.05956969794
380	0.05954694929
381	0.05951507461
382	0.05932251703
383	0.05909824126
384	0.0589099876
385	0.05874990949
386	0.05874580712
387	0.05869976247
388	0.05852818402
389	0.05839369715
390	0.05821796428
391	0.05807037321
392	0.05790276909
393	0.05779857118
394	0.05779323228
395	0.05771318559
396	0.05751478351
397	0.05748658137
398	0.05747758499
399	0.05729381411
400	0.0572825339
401	0.05726473429
402	0.05725471038
403	0.05721836094
404	0.05721278625
405	0.05720251125
406	0.05706617397
407	0.05694596437
408	0.05685810205
409	0.05674297087
410	0.05659531327
411	0.0565304854
412	0.05638401125
413	0.05634895122
414	0.05617747924
415	0.05610264933
416	0.05603887908
417	0.05586511934
418	0.05566331669
419	0.05561649498
