iter	Passed	Remaining
409	4085	5878
410	4090	5861
411	4097	5847
412	4102	5831
413	4107	5813
414	4113	5798
415	4119	5782
416	4123	5765
417	4130	5750
418	4138	5738
419	4143	5721
420	4151	5709
421	4156	5692
422	4161	5677
423	4167	5662
424	4172	5645
425	4178	5630
426	4184	5615
427	4189	5599
428	4197	5587
429	4202	5570
430	4208	5556
431	4216	5543
432	4220	5527
433	4229	5515
434	4234	5499
435	4239	5483
436	4247	5471
437	4252	5456
438	4260	5443
439	4264	5428
440	4270	5412
441	4278	5401
442	4283	5386
443	4291	5374
444	4297	5359
445	4302	5344
446	4310	5332
447	4315	5317
448	4322	5304
449	4327	5289
450	4332	5274
451	4340	5262
452	4345	5246
453	4350	5232
454	4358	5220
455	4363	5205
456	4376	5199
457	4380	5184
458	4389	5173
459	4393	5158
460	4398	5142
461	4407	5132
462	4412	5117
463	4420	5105
464	4424	5090
465	4429	5075
466	4434	5061
467	4442	5050
468	4447	5035
469	4455	5024
470	4460	5009
471	4466	4996
472	4473	4984
473	4478	4969
474	4486	4958
475	4491	4943
476	4499	4933
477	4504	4918
478	4508	4904
479	4514	4890
480	4521	4879
481	4526	4864
482	4534	4853
483	4539	4839
484	4544	4825
485	4552	4815
486	4557	4800
487	4566	4790
488	4571	4776
489	4575	4762
490	4584	4752
491	4589	4738
492	4594	4725
493	4602	4713
494	4606	4699
495	4612	4686
496	4623	4679
497	4630	4668
498	4636	4654
499	4640	4640
500	4649	4631
501	4654	4617
502	4659	4604
503	4667	4593
504	4672	4580
505	4680	4569
506	4685	4556
507	4690	4542
508	4700	4534
509	4705	4521
510	4714	4511
511	4719	4498
512	4724	4484
513	4732	4474
514	4737	4461
515	4745	4451
516	4751	4438
517	4756	4426
518	4764	4415
519	4769	4402
520	4775	4390
521	4781	4378
522	4786	4365
523	4793	4354
524	4799	4342
525	4803	4328
526	4811	4318
527	4816	4305
528	4820	4292
529	4828	4282
530	4833	4268
531	4838	4256
532	4845	4245
533	4850	4232
534	4856	4221
535	4864	4211
536	4869	4198
537	4878	4188
538	4882	4176
539	4887	4163
540	4895	4153
541	4901	4141
542	4909	4131
543	4913	4119
544	4920	4107
545	4928	4097
546	4932	4084
547	4939	4074
548	4945	4062
549	4950	4050
550	4976	4055
551	4982	4043
552	4990	4033
553	4994	4021
554	4999	4008
555	5008	3999
556	5012	3986
557	5017	3974
558	5025	3964
559	5029	3951
560	5037	3942
561	5042	3929
562	5047	3917
563	5053	3906
564	5059	3895
565	5064	3883
566	5071	3873
567	5076	3861
568	5081	3849
569	5089	3839
570	5094	3827
571	5099	3815
572	5109	3807
573	5114	3795
574	5123	3786
575	5128	3774
576	5132	3762
577	5140	3753
578	5147	3742
579	5157	3734
580	5164	3724
581	5175	3716
582	5185	3708
583	5191	3698
584	5198	3687
585	5206	3678
586	5215	3669
587	5227	3662
588	5236	3653
589	5242	3643
590	5250	3633
591	5255	3622
592	5261	3611
593	5273	3604
594	5297	3605
595	5302	3594
596	5315	3587
597	5321	3577
598	5327	3566
599	5332	3554
600	5339	3545
601	5348	3536
602	5358	3527
603	5364	3516
604	5373	3508
605	5379	3497
606	5387	3487
607	5396	3479
608	5405	3470
609	5410	3459
610	5415	3447
611	5423	3438
612	5428	3427
613	5432	3415
614	5440	3406
615	5446	3395
616	5456	3387
617	5461	3376
618	5468	3365
619	5474	3355
620	5479	3344
621	5487	3334
622	5491	3323
623	5496	3312
624	5502	3301
625	5507	3290
626	5515	3281
627	5521	3270
628	5526	3259
629	5534	3250
630	5539	3239
631	5548	3230
632	5552	3219
633	5557	3208
634	5565	3199
635	5570	3188
636	5578	3178
637	5583	3168
638	5595	3161
639	5600	3150
640	5607	3140
641	5614	3130
642	5619	3119
643	5627	3110
644	5632	3099
645	5640	3090
646	5645	3080
647	5650	3069
648	5659	3060
649	5663	3049
650	5670	3040
651	5676	3029
652	5680	3018
653	5688	3009
654	5693	2998
655	5698	2988
656	5706	2979
657	5711	2968
658	5720	2960
659	5725	2949
660	5731	2939
661	5737	2929
662	5741	2918
663	5749	2909
664	5753	2898
665	5758	2888
666	5766	2878
667	5770	2868
668	5777	2858
669	5783	2848
670	5788	2838
671	5796	2829
672	5801	2818
673	5806	2808
674	5815	2800
675	5821	2790
676	5828	2780
677	5833	2770
678	5841	2761
679	5845	2750
680	5850	2740
681	5859	2732
682	5865	2722
683	5872	2712
684	5877	2702
685	5882	2692
686	5891	2684
687	5900	2675
688	5907	2666
689	5913	2656
690	5923	2648
691	5929	2639
692	5942	2632
693	5956	2626
694	5982	2625
695	5991	2617
696	6024	2619
697	6032	2610
698	6040	2601
699	6049	2592
700	6056	2583
701	6062	2573
702	6086	2571
703	6100	2565
704	6113	2558
705	6125	2551
706	6131	2541
707	6139	2532
708	6144	2522
709	6150	2512
710	6157	2502
711	6172	2496
712	6184	2489
713	6197	2482
714	6233	2484
715	6272	2487
716	6280	2479
717	6287	2469
718	6302	2463
719	6309	2453
720	6316	2444
721	6325	2435
722	6356	2435
723	6369	2428
724	6383	2421
725	6396	2414
726	6408	2406
727	6417	2397
728	6422	2387
729	6431	2378
730	6436	2368
731	6441	2358
732	6448	2348
733	6458	2340
734	6470	2332
735	6477	2323
736	6482	2313
737	6487	2303
738	6495	2294
739	6500	2283
740	6505	2273
741	6512	2264
742	6519	2255
743	6527	2246
744	6535	2236
745	6544	2228
746	6553	2219
747	6562	2211
748	6576	2203
749	6584	2194
750	6598	2187
751	6614	2181
752	6622	2172
753	6631	2163
754	6640	2154
755	6669	2152
756	6687	2146
757	6697	2138
758	6723	2134
759	6730	2125
760	6739	2116
761	6745	2106
762	6761	2100
763	6772	2091
764	6779	2082
765	6793	2075
766	6818	2071
767	6851	2069
768	6879	2066
769	6892	2058
770	6901	2049
771	6906	2039
772	6913	2030
773	6920	2020
774	6925	2010
775	6930	2000
776	6945	1993
777	6964	1987
778	6974	1978
779	6981	1969
780	6992	1960
781	6999	1951
782	7003	1941
783	7008	1930
784	7014	1921
785	7019	1911
786	7028	1902
787	7035	1892
788	7045	1884
789	7052	1874
790	7065	1866
791	7076	1858
792	7084	1849
793	7098	1841
794	7113	1834
795	7127	1826
796	7143	1819
797	7175	1816
798	7190	1808
799	7209	1802
800	7222	1794
801	7240	1787
802	7262	1781
803	7278	1774
804	7299	1768
805	7325	1763
806	7339	1755
807	7354	1747
808	7376	1741
809	7388	1733
810	7406	1726
811	7421	1718
812	7448	1713
813	7466	1706
814	7474	1696
815	7481	1686
816	7486	1676
817	7491	1666
818	7496	1656
819	7502	1646
820	7506	1636
821	7511	1626
822	7516	1616
823	7521	1606
824	7529	1597
825	7544	1589
826	7562	1581
827	7575	1573
828	7581	1563
829	7589	1554
830	7596	1544
831	7601	1534
832	7607	1525
833	7612	1515
834	7617	1505
835	7623	1495
836	7628	1485
837	7634	1475
838	7640	1466
839	7646	1456
840	7651	1446
841	7658	1437
842	7663	1427
843	7670	1417
844	7686	1409
845	7693	1400
846	7700	1391
847	7712	1382
848	7720	1373
849	7730	1364
850	7743	1355
851	7749	1346
852	7754	1336
853	7760	1326
854	7766	1317
855	7771	1307
856	7776	1297
857	7781	1287
858	7786	1278
859	7792	1268
860	7797	1258
861	7804	1249
862	7810	1239
863	7816	1230
864	7821	1220
865	7826	1211
866	7832	1201
867	7837	1191
868	7842	1182
869	7847	1172
870	7852	1163
871	7858	1153
872	7864	1144
873	7869	1134
874	7874	1124
875	7880	1115
876	7885	1105
877	7890	1096
878	7896	1086
879	7901	1077
880	7906	1067
881	7911	1058
882	7916	1049
883	7922	1039
884	7927	1030
885	7932	1020
886	7937	1011
887	7942	1001
888	7947	992
889	7952	982
890	7957	973
891	7962	964
892	7967	954
893	7972	945
894	7977	935
895	7982	926
896	7986	917
897	7994	908
898	7999	898
899	8005	889
900	8009	880
901	8016	870
902	8021	861
903	8029	852
904	8040	844
905	8053	835
906	8063	826
907	8070	817
908	8075	808
909	8081	799
910	8086	790
911	8091	780
912	8096	771
913	8101	762
914	8107	753
915	8124	745
916	8134	736
917	8143	727
918	8153	718
919	8169	710
920	8177	701
921	8188	692
922	8198	683
923	8210	675
924	8217	666
925	8222	657
926	8227	647
927	8234	638
928	8239	629
929	8244	620
930	8249	611
931	8254	602
932	8259	593
933	8264	584
934	8281	575
935	8289	566
936	8304	558
937	8316	549
938	8328	541
939	8336	532
940	8342	523
941	8351	514
942	8360	505
943	8369	496
944	8377	487
945	8385	478
946	8391	469
947	8398	460
948	8402	451
949	8412	442
950	8418	433
951	8427	424
952	8434	415
953	8445	407
954	8455	398
955	8470	389
956	8480	381
957	8493	372
958	8500	363
959	8507	354
960	8513	345
961	8530	336
962	8541	328
963	8550	319
964	8557	310
965	8563	301
966	8569	292
967	8576	283
968	8580	274
969	8584	265
970	8589	256
971	8593	247
972	8598	238
973	8603	229
974	8607	220
975	8612	211
976	8617	202
977	8621	193
978	8625	185
979	8630	176
980	8634	167
981	8639	158
982	8644	149
983	8649	140
984	8655	131
985	8661	122
986	8667	114
987	8672	105
988	8676	96
989	8681	87
990	8686	78
991	8692	70
992	8698	61
993	8703	52
994	8708	43
995	8716	35
996	8722	26
997	8727	17
998	8732	8
999	8737	0
